name,dy9_r2,mean_r2,min_r2,all_positive,r2_vector,hyper_freq,params,out_file
baseline_a3_lr0p003_l21,-0.10755636806090663,-0.0969871890041273,-0.10755636806090663,False,-0.106140097814 -0.101317357121 -0.099762243596 -0.095057026278 -0.085318860279 -0.106183978473 -0.086553296841 -0.084995472574 -0.107556368061,60,"{'archi': [3], 'Dropout': 0.0, 'l1l2': [0.0, 1.0], 'learning_rate': 0.003, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 100, 'patience': 6, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': False, 'regularize_output': True}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\baseline_a3_lr0p003_l21.mat
a3_lr0p001_l21_ep20_p3_twlong8,-0.05988830263599265,-0.0060040981804115635,-0.05988830263599265,False,-0.001012862604 -0.000615836074 -0.000098781358 0.000104791581 0.001239469172 0.000149880415 0.003240156184 0.002844601695 -0.059888302636,60,"{'archi': [3], 'Dropout': 0.0, 'l1l2': [0.0, 1.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 20, 'patience': 3, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': False, 'regularize_output': True, 'target_weights': [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 8.0]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\a3_lr0p001_l21_ep20_p3_twlong8.mat
dy9target_a1_lr0p003_l220_ep1_p0_b32,-0.00018683914112194167,-0.00018683914112194167,-0.00018683914112194167,False,-0.000186839141,60,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 20.0], 'learning_rate': 0.003, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': False, 'regularize_output': True, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p003_l220_ep1_p0_b32.mat
dy9target_a1_lr0p001_l250_ep1_p0_b32,-8.56727780857991e-05,-8.56727780857991e-05,-8.56727780857991e-05,False,-0.000085672778,60,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 50.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': False, 'regularize_output': True, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l250_ep1_p0_b32.mat
dy9target_a1_lr0p001_l250_ep2_p0_b32,4.477676973102529e-05,4.477676973102529e-05,4.477676973102529e-05,True,0.000044776770,60,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 50.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 2, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': False, 'regularize_output': True, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l250_ep2_p0_b32.mat
dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg1_hf12,-0.029868143116232204,-0.029868143116232204,-0.029868143116232204,False,-0.029868143116,12,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': True, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg1_hf12.mat
dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf12,-0.11737829788529841,-0.11737829788529841,-0.11737829788529841,False,-0.117378297885,12,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf12.mat
dy9target_a1_lr0p0005_l2100_ep1_p0_b32_bias1_outreg0_hf12,-0.07406119276304568,-0.07406119276304568,-0.07406119276304568,False,-0.074061192763,12,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.0005, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p0005_l2100_ep1_p0_b32_bias1_outreg0_hf12.mat
dy9target_a1_lr0p0003_l2100_ep1_p0_b32_bias1_outreg0_hf12,-0.05331011331125168,-0.05331011331125168,-0.05331011331125168,False,-0.053310113311,12,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.0003, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p0003_l2100_ep1_p0_b32_bias1_outreg0_hf12.mat
dy9target_a1_lr0p001_l2200_ep1_p0_b32_bias1_outreg0_hf12,-0.13601373865664423,-0.13601373865664423,-0.13601373865664423,False,-0.136013738657,12,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 200.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l2200_ep1_p0_b32_bias1_outreg0_hf12.mat
dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf6,-0.07557483915818364,-0.07557483915818364,-0.07557483915818364,False,-0.075574839158,6,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 50.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf6.mat
dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf6_val30,-0.047409381575629794,-0.047409381575629794,-0.047409381575629794,False,-0.047409381576,6,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 50.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.3, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf6_val30.mat
dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf6_val30,-0.04817767215987323,-0.04817767215987323,-0.04817767215987323,False,-0.048177672160,6,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.3, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf6_val30.mat
dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf6_huber0p5,-0.005541534867139264,-0.005541534867139264,-0.005541534867139264,False,-0.005541534867,6,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 50.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'huber', 'huber_delta': 0.5, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf6_huber0p5.mat
dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf6_huber0p5,-0.05714571298761251,-0.05714571298761251,-0.05714571298761251,False,-0.057145712988,6,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'huber', 'huber_delta': 0.5, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf6_huber0p5.mat
dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5,-0.03903651175323741,-0.03903651175323741,-0.03903651175323741,False,-0.039036511753,3,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 50.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.3, 'purge_size': 12, 'shuffle': False, 'loss_name': 'huber', 'huber_delta': 0.5, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5.mat
dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5,-0.0030466592062921016,-0.0030466592062921016,-0.0030466592062921016,False,-0.003046659206,3,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.3, 'purge_size': 12, 'shuffle': False, 'loss_name': 'huber', 'huber_delta': 0.5, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5.mat
dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5_loose,-0.04290715494972286,-0.04290715494972286,-0.04290715494972286,False,-0.042907154950,3,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.3, 'purge_size': 12, 'shuffle': False, 'loss_name': 'huber', 'huber_delta': 0.5, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5_loose.mat
dy9target_a1_lr0p0005_l250_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5_loose,-0.021582985773788588,-0.021582985773788588,-0.021582985773788588,False,-0.021582985774,3,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 50.0], 'learning_rate': 0.0005, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.3, 'purge_size': 12, 'shuffle': False, 'loss_name': 'huber', 'huber_delta': 0.5, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p0005_l250_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5_loose.mat
dy9target_a1_lr0p0005_l2100_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5_loose,-0.03424009865290034,-0.03424009865290034,-0.03424009865290034,False,-0.034240098653,3,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.0005, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.3, 'purge_size': 12, 'shuffle': False, 'loss_name': 'huber', 'huber_delta': 0.5, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p0005_l2100_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p5_loose.mat
dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p25_loose,-0.04185146406406437,-0.04185146406406437,-0.04185146406406437,False,-0.041851464064,3,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 50.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.3, 'purge_size': 12, 'shuffle': False, 'loss_name': 'huber', 'huber_delta': 0.25, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p25_loose.mat
dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p25_loose,-0.02212053680258186,-0.02212053680258186,-0.02212053680258186,False,-0.022120536803,3,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.3, 'purge_size': 12, 'shuffle': False, 'loss_name': 'huber', 'huber_delta': 0.25, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf3_val30_huber0p25_loose.mat
dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf3,-0.07758443169558649,-0.07758443169558649,-0.07758443169558649,False,-0.077584431696,3,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 50.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l250_ep1_p0_b32_bias1_outreg0_hf3.mat
dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf3,-0.12142033693017984,-0.12142033693017984,-0.12142033693017984,False,-0.121420336930,3,"{'archi': [1], 'Dropout': 0.0, 'l1l2': [0.0, 100.0], 'learning_rate': 0.001, 'decay_rate': 0.001, 'momentum': 0.9, 'nesterov': True, 'epochs': 1, 'patience': 0, 'batch_size': 32, 'validation_split': 0.15, 'purge_size': 12, 'shuffle': False, 'loss_name': 'mse', 'huber_delta': 1.0, 'use_bias': True, 'regularize_output': False, 'target_indices': [8]}",D:\Dropbox\0_Lab_504\Codes\504_ML\NN\results_v2.0_robustness\nmc100_navg10_search_0608\dy9target_a1_lr0p001_l2100_ep1_p0_b32_bias1_outreg0_hf3.mat
